Index;Labels;Section;Subsection
49g;Triangle,checkerboard filling,large,schoulder or horizontal panel;triangular ornaments;triangles
49h;Triangle,filled with lozenges,double outline and dot,shoulder ornament;triangular ornaments;triangles
50a;Triangle,enclosing intertwinded triangles,shoulder ornament;triangular ornaments;triangles
50b;Triangle,enclosing intertwinded triangles,shoulder ornament;triangular ornaments;triangles
50c;Triangle,enclosing two triangles and a lozenge,shoulder ornament;triangular ornaments;triangles
50d;Triangle,enclosing two triangles and a lozenge,shoulder ornament;triangular ornaments;triangles
50e;Triangle,enclosing two triangles and a lozenge,shoulder ornament;triangular ornaments;triangles
50f;Triangle,enclosing two triangles and a lozenge,shoulder ornament;triangular ornaments;triangles
50g;Triangle,enclosing two triangles and a lozenge,shoulder ornament;triangular ornaments;triangles
51a;Triangle,linear composition,shoulder ornament;triangular ornaments;triangles
51b;Triangle,linear composition,shoulder ornament;triangular ornaments;triangles
51c;Triangle,linear composition,shoulder ornament;triangular ornaments;triangles
52a;"""Rhodian tree"",metopal";triangular ornaments;triangles
52b;"""Rhodian tree"",metopal";triangular ornaments;triangles
52c;"""Rhodian tree"",metopal";triangular ornaments;triangles
52d;"""Rhodian tree with root stock"",metopal";triangular ornaments;triangles
53a;Triangles,solid,horizontal panel;triangular ornaments;triangles
53b;Dogtooth,pointing upwards,horizontal panel;triangular ornaments;triangles
53c;Dogtooth,pointing upwards,horizontal panel;triangular ornaments;triangles
53d;Dogtooth,pointing downwards,horizontal panel;triangular ornaments;triangles
53e;Dogtooth,vertical panel;triangular ornaments;triangles
53f;Alternating antithetic rays,often accompanied by dots,horizontal panel;triangular ornaments;triangles
53g;Alternating antithetic rays,often accompanied by dots,horizontal panel;triangular ornaments;triangles
53h;Alternating antithetic rays,often accompanied by dots,horizontal panel;triangular ornaments;triangles
53i;Alternating antithetic rays,accompanied by dots,vertical panel;triangular ornaments;triangles
54a;Triangles,stacked,solid,vertical panel;triangular ornaments;triangles
54b;Triangles,solid,stacked in opposite directions,horizontal panel;triangular ornaments;triangles
54c;Dogtooth,opposed,in a double-decker metope;triangular ornaments;triangles
54d;Small triangles,solid,pendent,stacked in rows,vertical panel;triangular ornaments;triangles
55a;Hour-glass,double outline,metopal;triangular ornaments;hour glasses and double axes
55b;Hour-glass,multiple outline,metopal;triangular ornaments;hour glasses and double axes
55c;Hour-glass,hatched,metopal;triangular ornaments;hour glasses and double axes
55d;Hour-glass,hatched,metopal;triangular ornaments;hour glasses and double axes
55e;Hour-glass,cross-hatched,metopal;triangular ornaments;hour glasses and double axes
55f;Hour-glasses,cross-hatched,metopal;triangular ornaments;hour glasses and double axes
55g;Hour-glass,cross-hatched,with solid spandrels,metopal;triangular ornaments;hour glasses and double axes
56a;Double axes,hatched,horizontal panel;triangular ornaments;hour glasses and double axes
56b;Double axe,cross-hatched,horizontal panel;triangular ornaments;hour glasses and double axes
56c;Double axe,cross-hatched,and triangles,metopal;triangular ornaments;hour glasses and double axes
56d;Double axes,cross-hatched,horizontal panel;triangular ornaments;hour glasses and double axes
56e;Double axes,cross-hatched,in separate metopes;triangular ornaments;hour glasses and double axes
57a;Double axe,solid,double outline;triangular ornaments;hour glasses and double axes
57b;Double axes,solid,double outline,horizontal panel;triangular ornaments;hour glasses and double axes
57c;Double axe,solid,with triangles stacked in field,metopal;triangular ornaments;hour glasses and double axes
57d;Double axe,solid,metopal;triangular ornaments;hour glasses and double axes
57e;Double axe,solid,metopal;triangular ornaments;hour glasses and double axes
57f;Double axes,solid,superimposed,metopal;triangular ornaments;hour glasses and double axes
57g;Double axes,solid,horizontal panel;triangular ornaments;hour glasses and double axes
57h;Double axes,solid,two vertical bars,horizontal panel;triangular ornaments;hour glasses and double axes
57i;Double axe,pendent;triangular ornaments;hour glasses and double axes
57j;Double axe,as filling ornament;triangular ornaments;hour glasses and double axes
57k;Double axe,as filling ornament;triangular ornaments;hour glasses and double axes
58a;St. Andrew's cross,double lines,metopal;triangular ornaments;hour glasses and double axes
58b;St. Andrew's cross,dotted,metopal;triangular ornaments;hour glasses and double axes
58c;St. Andrew's cross,hatched,metopal;triangular ornaments;hour glasses and double axes
58d;St. Andrew's cross,hatched,metopal;triangular ornaments;hour glasses and double axes
58e;St. Andrew's cross,hatched,metopal;triangular ornaments;hour glasses and double axes
58f;St. Andrew's cross,outlined;triangular ornaments;hour glasses and double axes
58g;St. Andrew's cross,outlined,as filling ornament;triangular ornaments;hour glasses and double axes
58h;Windmill pattern,hatched,as filling ornament;triangular ornaments;hour glasses and double axes
58i;Multiple windmill pattern,solid,metopal;triangular ornaments;hour glasses and double axes
59a;Wolftooth,hatched,horizontal panel;triangular ornaments;zigzag
59b;Wolftooth,cross-hatched,horizontal panel;triangular ornaments;zigzag
59c;Wolftooth,dissimilar rows,hatched and cross-hatched,horizontal panel;triangular ornaments;zigzag
59d;Zigzag,hatched,between wolftooth,horizontal panel;triangular ornaments;zigzag
59e;Zigzag,between wolftooth,simple lines,horizontal panel;triangular ornaments;zigzag
59f;Zigzag,between wolftooth,simple lines,horizontal panel;triangular ornaments;zigzag
59g;Zigzag,white on dark,horizontal panel;triangular ornaments;zigzag
59h;Zigzag,separate chevrons,single lines,horizontal panel;triangular ornaments;zigzag
60a;Zigzag, simple,horizontal panel;triangular ornaments;zigzag
60b;Zigzag,single massive line,horizontal panel;triangular ornaments;zigzag
60c;Zigzag,single line,massive and careless,horizontal panel;triangular ornaments;zigzag
60d;Zigzag,single line,thin and careless,horizontal panel;triangular ornaments;zigzag
60e;Zigzag,single line,thin and careless,vertical panel;triangular ornaments;zigzag
60f;Zigzag,stacked simple lines,vertical panel;triangular ornaments;zigzag
60g;Zigzag,stacked in three panels,vertical panel;triangular ornaments;zigzag
61a;Parallel zigzag,triple,large and spacious,horizontal panel;triangular ornaments;zigzag
61b;Parallel zigzag,double triple or multiple,horizontal panel;triangular ornaments;zigzag
61c;Parallel zigzag,double triple or multiple,horizontal panel;triangular ornaments;zigzag
61d;Parallel zigzag,multiple,obtuse angle,horizontal panel;triangular ornaments;zigzag
61e;Zigzag,multiple,vertical,metopal;triangular ornaments;zigzag
61f;Parallel zigzag,triple,vertical,vertical panel;triangular ornaments;zigzag
61g;Parallel zigzag,multiple,vertical,in groups,horizontal panel;triangular ornaments;zigzag
62a;Parallel zigzag,double,vertical bars on apices,horizontal panel;triangular ornaments;zigzag
62b;Parallel zigzag,multiple,vertical bars on apices,horizontal panel;triangular ornaments;zigzag
62c;Parallel zigzag,double,rectilinear hooks on apices,horizontal panel;triangular ornaments;zigzag
62d;Parallel zigzag,multiple,vertical,horizontal bars on apices,metopal;triangular ornaments;zigzag
62e;Parallel zigzag,vertical,as metope-triglyph-frieze;triangular ornaments;zigzag
62f;Parallel zigzag as fig. 62e,but bars on apices;triangular ornaments;zigzag
63a;Zigzag,double lines,horizontal panel;triangular ornaments;zigzag
63b;Zigzag,hatched,apices cut off,horizontal panel;triangular ornaments;zigzag
63c;Zigzag,hatched,horizontal panel;triangular ornaments;zigzag
63d;Zigzag,hatched,horizontal panel;triangular ornaments;zigzag
63e;Zigzag,hatched,vertical panel;triangular ornaments;zigzag
63f;Multiple zigzag,hatched,horizontal panel;triangular ornaments;zigzag
63g;Multiple zigzag,hatched,vertical,horizontal panel;triangular ornaments;zigzag
64a;Chevron,single,cross-hatched,shoulder ornament;triangular ornaments;chevron
64b;Chevrons,cross-hatched,floating and spaced,horizontal panel;triangular ornaments;chevron
64c;"Vertical with oblique fringes ""ear of corn"",shoulder ornament";triangular ornaments;chevron
64d;"Vertical with oblique fringes ""ear of corn"",shoulder ornament";triangular ornaments;chevron
64e;V-chevrons,floating,vertical panel;triangular ornaments;chevron
64f;"Stacks of inverted ""V's"",superimposed,vertical panel";triangular ornaments;chevron
64g;"Stacks of inverted ""V's"",superimposed,vertical panel";triangular ornaments;chevron
64h;"Massed stacks of inverted ""V's"",horizontal panel";triangular ornaments;chevron
64i;"Stacks of inverted ""V's"",superimposed,filling ornament";triangular ornaments;chevron
65a;Fishbone pattern,horizontal panel;triangular ornaments;chevron
65b;Fishbone pattern (panels of vertical chevrons),horizontal panel;triangular ornaments;chevron
65c;Fishbone pattern,vertical panel;triangular ornaments;chevron
65d;Vertical chevrons,facing right or left,horizontal panel;triangular ornaments;chevron
65e;Vertical chevrons,facing right or left,horizontal panel;triangular ornaments;chevron
65f;Antithetic chevrons,solid filling,vertical panel;triangular ornaments;chevron
66a;Sigmas,three-limbed,turned to right,horizontal panel;triangular ornaments;chevron
66b;Sigmas,four-limbed,turned to right,floating,horizontal panel;triangular ornaments;chevron
66c;M-chevrons (four limbed sigmas),stacked,vertical panel;triangular ornaments;chevron
66d;Groups of sigmas,turned to right,alternating with stars,horizontal panel;triangular ornaments;chevron
66e;Sigmas,four-limbed,turned to left,horizontal panel;triangular ornaments;chevron
66f;Sigmas,four-limbed,turned to left,horizontal panel;triangular ornaments;chevron
66g;Sigmas,four-limbed,turned to left,horizontal panel;triangular ornaments;chevron
66h;Sigmas,four-limbed,turned to left,horizontal panel;triangular ornaments;chevron
67a;"Scribble (degeneration of ""sigmas""),single or double,horizontal,floating,horizontal panel";triangular ornaments;chevron
67b;Scribble,multiple,stacked,metopal;triangular ornaments;chevron
67c;Scribble,multiple,stacked,floating,vertical panel;triangular ornaments;chevron
67d;Scribble,multiple,stacked,vertical panel;triangular ornaments;chevron
67e;Scribble,multiple,as filling ornament;triangular ornaments;chevron
67f;Column of double chevrons,as filling ornament;triangular ornaments;chevron
67g;Scribble,as filling ornament;triangular ornaments;chevron
67h;Scribble,variously disposed in an unframed panel;triangular ornaments;chevron
67i;Scribble,vertical,floating,horizontal panel;triangular ornaments;chevron
67j;Scribble,oblique zigzags,massed,shoulder ornament;triangular ornaments;chevron
67k;Scribble,vertical,horizontal panel;triangular ornaments;chevron
67l;Scribble,vertical,spaced,horizontal panel;triangular ornaments;chevron
67m;Scribble,vertical,in groups,horizontal panel;triangular ornaments;chevron
68a;"Scribble (""tadpoles""),vertical,between bars,horizontal panel";triangular ornaments;chevron
68b;Scribble,oblique groups of floating sigmas,horizontal panel;triangular ornaments;chevron
68c;Scribble,vertical,between dashes,metopal;triangular ornaments;chevron
68d;Scribble,vertical,in an unframed panel;triangular ornaments;chevron
69a;Row of dots,horizontal panel;circular ornaments;points and stars
69b;Multiple rows of dots,horizontal panel;circular ornaments;points and stars
69c;Column of dots,vertical panel;circular ornaments;points and stars
69d;Row of large dots,horizontal panel;circular ornaments;points and stars
69e;Row of oblique blobs,floating,horizontal panel;circular ornaments;points and stars
69f;Small circle,dotted,as filling ornament;circular ornaments;points and stars
69g;Chain of dotted circles,as filling ornament;circular ornaments;points and stars
69h;Circles,dotted,rectangular arrangement,metopal;circular ornaments;points and stars
69i;Dotted circles,vertical chain;circular ornaments;points and stars
70a;Dot rosette,as filling ornament;circular ornaments;points and stars
70b;Dot rosette,as filling ornament;circular ornaments;points and stars
70c;Dot rosette,as filling ornament;circular ornaments;points and stars
70d;Dot rosette,as filling ornament;circular ornaments;points and stars
70e;Dot rosette,as filling ornament;circular ornaments;points and stars
70f;Flower (dot rosette and chain);circular ornaments;points and stars
70g;Flower (dot rosette with eight-pointed star and dot chain);circular ornaments;points and stars
70h;Quartered rosette,as filling ornament;circular ornaments;points and stars
70i;Quartered rosette,as filling ornament;circular ornaments;points and stars
70j;Quartered rosette,as filling ornament;circular ornaments;points and stars
70k;Spiked rosette,as filling ornament;circular ornaments;points and stars
70l;Spiked rosette,as filling ornament;circular ornaments;points and stars
70m;Dotted circle,enclosing a swastika,as filling ornament;circular ornaments;points and stars
70n;Dotted circle,enclosing eight-armed swastika,as filling ornament;circular ornaments;points and stars
70o;Dotted circle,enclosing an outlined cross,as filling ornament;circular ornaments;points and stars
70p;Circle,enclosing eight-armed swastika,floor ornament;circular ornaments;points and stars
70q;Stalked rosette,solid,as filling ornament;circular ornaments;points and stars
70r;Rosette with dotted outline;circular ornaments;points and stars
71a;Stars,eight-pointed,horizontal panel;circular ornaments;points and stars
71b;Small square,eight-pointed star within,shoulder ornament;circular ornaments;points and stars
71c;Star,eight-pointed,in small metope;circular ornaments;points and stars
71d;Stars,eight-pointed,small,vertical panel;circular ornaments;points and stars
71e;Star,eight-pointed,filling ornament;circular ornaments;points and stars
71f;Star,sixteen-pointed,as filling ornament;circular ornaments;points and stars
71g;Star,sixteen-pointed,as filling ornament;circular ornaments;points and stars
71h;Star,sixteen-pointed,as filling ornament;circular ornaments;points and stars
71i;Large eight-pointed star;circular ornaments;points and stars
71j;Concentric star (circle and triangles),metopal;circular ornaments;points and stars
71k;Circle,enclosing a star of 9 points,hatched,floor ornament;circular ornaments;points and stars
71l;Circle,enclosing a star of 12 points,cross-hatched,floor ornament;circular ornaments;points and stars
71m;Lightning-wheel,shoulder ornament;circular ornaments;points and stars
72a;Concentric semicircles,standing,in the centre hour-glass,horizontal panel;circular ornaments;half circles
72b;Concentric three-quarter circles,enclosing hour-glass;circular ornaments;half circles
72c;Concentric semicircles,standing,enclosing half an hour-glass,horizontal panel;circular ornaments;half circles
72d;Concentric semicircles,in the centre a vertical bar,horizontal panel;circular ornaments;half circles
72e;Concentric three-quarter circles,standing;circular ornaments;half circles
72f;Concentric semicircles,standing,horizontal panel;circular ornaments;half circles
72g;Concentric semicircles,standing,horizontal panel;circular ornaments;half circles
73a;Concentric semicircles,standing,centres solid,horizontal panel;circular ornaments;half circles
73b;Concentric semicircles,centres solid,vertical panel;circular ornaments;half circles
73c;Concentric semicircles,pendent,in the centre solid bars,horizontal panel;circular ornaments;half circles
73d;Concentric semicircles,pendent,horizontal panel;circular ornaments;half circles
73e;Concentric semicircles,pendent,horizontal panel;circular ornaments;half circles
74a;Confronted semicircles,reserved,vertical disposition,metopal;circular ornaments;half circles
74b;Concentric semicircles,pendent and standing opposite each other;circular ornaments;half circles
74c;Concentric semicircles,alternately standing and pendent,horizontal panel;circular ornaments;half circles
74d;"Concentric quarter-circles (""sound-waves""),horizontal panel";circular ornaments;half circles
74e;Scale pattern,double,dotted,horizontal panel;circular ornaments;half circles
75a;Concentric circles,horizontal panel;circular ornaments;circles
75b;Concentric circles,horizontal panel;circular ornaments;circles
75c;Concentric circles,horizontal panel;circular ornaments;circles
75d;Concentric circles,horizontal panel;circular ornaments;circles
75e;Concentric circles,horizontal panel;circular ornaments;circles
75f;Concentric circles,horizontal panel;circular ornaments;circles
75g;Concentric circles,horizontal panel;circular ornaments;circles
75h;Concentric circles,horizontal panel;circular ornaments;circles
75i;Concentric circles,vertical panel;circular ornaments;circles
75j;Concentric circles,horizontal panel;circular ornaments;circles
75k;Concentric circles,horizontal panel;circular ornaments;circles
75l;Concentric circles,reserved,horizontal panel;circular ornaments;circles
76a;Concentric circles and triangles,horizontal panel;circular ornaments;circles
76b;Concentric circles,between them losenges,horizontal panel;circular ornaments;circles
76c;Circles,enclosing swastikas,between them lozenges,horizontal panel;circular ornaments;circles
76d;Chain of double circles with enclosed dots,horizontal panel;circular ornaments;circles
76e;Concentric circles,metopal;circular ornaments;circles
76f;Concentric circles,metopal;circular ornaments;circles
76g;Concentric circles,metopal;circular ornaments;circles
76h;Row of circles with enclosing bars,dots in between,horizontal panel;circular ornaments;circles
76i;Concentric circles,enclosing zigzags;circular ornaments;circles
76j;Circle,enclosing concentric circles overlapping each other;circular ornaments;circles
77a;Concentric circles,enclosing simple St. George's cross;circular ornaments;circles
77b;Concentric circles,enclosing simple St. George's cross;circular ornaments;circles
77c;Thick circle,enclosing simple St. George's cross;circular ornaments;circles
77d;Thick circle,enclosing simple St. George's cross;circular ornaments;circles
77e;Circle,enclosing a star of eight lines,floor ornament;circular ornaments;circles
77f;Triple circle with fringe,enclosing a star of six lines,metopal;circular ornaments;circles
77g;Circle,enclosing a star of eight lines,metopal;circular ornaments;circles
77h;Circles,enclosing a star of multiple points;circular ornaments;circles
77i;Circle,enclosing a star of eight lines,and dots,floor ornament;circular ornaments;circles
77j;Circle,enclosing a star of 15 lines,and dots,floor ornament;circular ornaments;circles
77k;Circle,enclosing an eleven-pointed star,double outline;circular ornaments;circles
78a;Concentric circles,enclosing hatched quarters;circular ornaments;circles
78b;Circle,lines forming a cross and chevrons,floor ornament;circular ornaments;circles
78c;Circle,enclosing a reserved cross,between chevrons,floor ornament;circular ornaments;circles
78d;Circle,enclosing a dotted cross,between chevrons,floor ornament;circular ornaments;circles
78e;Concentric circles,enclosing a reserved cross,between chevrons;circular ornaments;circles
78f;Circle,enclosing a cross,fishbone pattern in the spandrels,floor ornament;circular ornaments;circles
78g;Circle,enclosing a reserved cross,between cross-hatched triangles;circular ornaments;circles
78h;Circle,enclosing cross-hatching and chevrons,floor ornament;circular ornaments;circles
78i;Thick circle lined with dots,enclosing cross-hatched triangles and stacked chevrons,floor ornament;circular ornaments;circles
78j;Circle,enclosing a hatched cross,with triangles in the spandrels,floor ornament;circular ornaments;circles
78k;Circle,enclosing a hatched cross,floor ornament;circular ornaments;circles
78l;Circle,enclosing a cross of double lines,floor ornament;circular ornaments;circles
78m;Circle,enclosing a cross,centre solid,cross-hatching in the spandrels,floor ornament;circular ornaments;circles
79a;As dif. 78m,various patterns in the branches of the cross,floor ornament;circular ornaments;circles
79b;Circle,enclosing triple-line cross and concentric circles,floor ornament;circular ornaments;circles
79c;Circle,enclosing a solid cross,floor ornament;circular ornaments;circles
79d;Concentric circles,enclosing a reserved cross;circular ornaments;circles
79e;Concentric circles,enclosing a reserved cross;circular ornaments;circles
80a;Concentric circles,enclosing a solid hour-glass;circular ornaments;circles
80b;Concentric circles,enclosing a solid Maltese cross;circular ornaments;circles
80c;Concentric circles,enclosing a cross-hatched hour-glass,metopal;circular ornaments;circles
80d;"Concentric circles,enclosing a cross-hatched three-winged ""fan"",metopal";circular ornaments;circles
80e;Concentric circles,enclosing an hatched Maltese cross;circular ornaments;circles
80f;Concentric circles,enclosing an hatched Maltese cross;circular ornaments;circles
80g;"""Fan"" with six wings,solid";circular ornaments;circles
80h;"""Fan"" with six hatched wings,floor ornament";circular ornaments;circles
80i;"""Fan"" with eight hatched wings,floor ornament";circular ornaments;circles
81a;Circles and chain of dots,enclosing a flower of 12 leaves;circular ornaments;circle rosettes
81b;Circle,enclosing octofoil,with midribs,floor ornament;circular ornaments;circle rosettes
81c;Circle,enclosing hexafoil,with midribs;circular ornaments;circle rosettes
81d;Circle,enclosing octofoil with midribs,connecting arcs near rim,floor ornament;circular ornaments;circle rosettes
81e;Circles,enclosing reserved quatrefoil with midribs,background cross-hatched;circular ornaments;circle rosettes
81f;Circle,enclosing quatrefoil with midribs,surrounded by parallel lines,floor ornament;circular ornaments;circle rosettes
81g;Circle,enclosing quatrefoil,with midribs and hatching,floor ornament;circular ornaments;circle rosettes
81h;Circle,enclosing octofoil,with midribs and hatching,floor ornament;circular ornaments;circle rosettes
81i;Circle,enclosing quatrefoil,V-shaped hatching,floor ornament;circular ornaments;circle rosettes
81j;Circle,enclosing four-leaved windmill,hatched,floor ornament;circular ornaments;circle rosettes
82a;Circle,enclosing hatched quatrefoil,floor ornament;circular ornaments;circle rosettes
82b;Concentric circles,enclosing hatched quatrefoil,metopal;circular ornaments;circle rosettes
82c;Circle,enclosing octofoil,swastikas in between,floor ornament;circular ornaments;circle rosettes
82d;Circle,enclosing hexafoil,reserved,background dotted;circular ornaments;circle rosettes
82e;Circle,enclosing octofoil,reserved,background cross-hatched;circular ornaments;circle rosettes
82f;Circle,enclosing twelve-leaved rosette,reserved,background hatched;circular ornaments;circle rosettes
82g;Circles,enclosing seven-leaved rosette,metopal;circular ornaments;circle rosettes
82h;Circle,enclosing rosette of nine leaves,double outline,cross-hatched,floor ornament;circular ornaments;circle rosettes
82i;Circle,enclosing rosette of multiple leaves,floor ornament;circular ornaments;circle rosettes
82j;Circle,enclosing octofoil in triple outline,floor ornament;circular ornaments;circle rosettes
82k;Circle,enclosing octofoil,triple outline,hatched,floor ornament;circular ornaments;circle rosettes
83a;Wheel,four-spoked,in the quarters stars or swastikas;circular ornaments;circle rosettes
83b;Wheel,four-spoked,in the quarters stars or swastikas;circular ornaments;circle rosettes
83c;Wheel,four-spoked,in the quarters stars or swastikas;circular ornaments;circle rosettes
83d;Wheel,four-spoked,in the quarters stars or swastikas;circular ornaments;circle rosettes
83e;Concentric circles,enclosing vertical wavy line;circular ornaments;circle rosettes
83f;Circle,enclosing concentric circles,cruciform;circular ornaments;circle rosettes
83g;Circle,enclosing concentric circles,cruciform;circular ornaments;circle rosettes
84a;Circle with dotted outline,enclosing small dotted circles;circular ornaments;circle rosettes
84b;Circle with dotted outline,enclosing small dotted circles;circular ornaments;circle rosettes
84c;Circle,with circular arrangement of small circles;circular ornaments;circle rosettes
84d;"""Sunburst"",metopal";circular ornaments;circle rosettes
84e;"""Sunburst"",metopal";circular ornaments;circle rosettes
84f;Tangential circles,with central dot,metopal;circular ornaments;circle rosettes
84g;Circle,enclosing chain of tangential circles,floor ornament;circular ornaments;circle rosettes
84h;Circle,enclosing chain of tangential circles,floor ornament;circular ornaments;circle rosettes
84i;Circle with chain of tangential circles,enclosing a star;circular ornaments;circle rosettes
84j;Circle of tangential blobs and dot rosette;circular ornaments;circle rosettes
85a;Tangential circles,horizontal panel;circular ornaments;circle chains
85b;Tangential circles,with central dot,horizontal panel;circular ornaments;circle chains
85c;Dotted tagential circles,dots flanking the tangents,horizontal panel;circular ornaments;circle chains
85d;Dotted tagential circles,dots flanking the tangents,horizontal panel;circular ornaments;circle chains
85e;Tangential circles,double,horizontal panel;circular ornaments;circle chains
85f;Tangential circles,double,dots without,horizontal panel;circular ornaments;circle chains
85g;Dotted tangential circles,double,horizontal panel;circular ornaments;circle chains
85h;Tangential circles,double,dots within and without,horizontal panel;circular ornaments;circle chains
85i;Dotted tangential circles,triple,horizontal panel;circular ornaments;circle chains
86a;Tangential blobs,horizontal panel;circular ornaments;circle chains
86b;Tangential blobs,dots flanking the tangets,horizontal panel;circular ornaments;circle chains
86c;Tangential blobs,dots flanking the tangets,vertical panel;circular ornaments;circle chains
86d;Tangential blobs,elongated,dots without,horizontal panel;circular ornaments;circle chains
86e;Tangential blobs,elongated,horizontal panel;circular ornaments;circle chains
87a;Concentric circles,crossed tangents,horizontal panel;circular ornaments;circle chains
87b;Concentrique circles and multiple tangents,horizontal panel;circular ornaments;circle chains
87c;Tangential circles,triple,vertical panel;circular ornaments;circle chains
87d;Concentric tangential circles,horizontal panel;circular ornaments;circle chains
87e;Concentric tangential circles,horizontal panel;circular ornaments;circle chains
87f;Tangential triple circles,enclosing reserved crosses,horizontal panel;circular ornaments;circle chains
88a;Cable ornament,multiple lines,horizontal panel;circular ornaments;circle chains
88b;Cable,double,hatched,horizontal panel;circular ornaments;circle chains
88c;Hatched cable enclosing small doted circles,horizontal panel;circular ornaments;circle chains
88d;"Band of ""S's"",circles in between,horizontal panel";circular ornaments;circle chains
88e;"Band of ""S's"",horizontal panel";circular ornaments;circle chains
88f;"Band of ""S's"",horizontal panel";circular ornaments;circle chains
88g;"Band of ""S's"",vertical panel";circular ornaments;circle chains
89a;Spiral net,concentric circles within,horizontal panel;circular ornaments;circle chains
89b;Spiral net,swastikas within,horizontal panel;circular ornaments;circle chains
89c;Looped lines,opposed,inner space hatched,horizontal panel;circular ornaments;circle chains
89d;"""S"",upright,as filling ornament";circular ornaments;circle chains
89e;Spirals,running,horizontal panel;circular ornaments;circle chains
89f;Spirals,running,horizontal panel;circular ornaments;circle chains
89g;Chain of opposed half-circles,horizontal panel;circular ornaments;circle chains
89h;Pothooks,pendent,horizontal panel;circular ornaments;circle chains
90a;Leaf,filled with chevrons or hatching,as filling ornament;pictographics;leaves
90b;Leaf,filled with chevrons or hatching,as filling ornament;pictographics;leaves
90c;Leaves,hatched,horizontal panel;pictographics;leaves
90d;Leaves,cross-hatched,triangles in between,horizontal panel;pictographics;leaves
90e;Leaves,cross-hatched,vertical bars in between,horizontal panel;pictographics;leaves
90f;Leaf,cross-hatched,double outline,as filling ornament;pictographics;leaves
90g;Leaves,hatched,double outline,horizontal panel;pictographics;leaves
90h;Leaves,hatched,double outline,horizontal panel;pictographics;leaves
90i;Leaves,triple outline,horizontal panel;pictographics;leaves
91a;Tongues,various fillings,vertical panel;pictographics;leaves
91b;Tongues,various fillings,vertical panel;pictographics;leaves
91c;Tongues,various fillings,vertical panel;pictographics;leaves
91d;Tongues,various fillings,vertical panel;pictographics;leaves
91e;Tongues,various fillings,vertical panel;pictographics;leaves
91f;Tongues,various fillings,vertical panel;pictographics;leaves
91g;Tongues,various fillings,vertical panel;pictographics;leaves
91h;Tongue,multiple lines,as filling ornament;pictographics;leaves
91i;Plant with two leaves,metopal;pictographics;leaves
92a;Figure with rectilinear hooks;pictographics;leaves
92b;Figure with rectilinear hooks;pictographics;leaves
92c;Figure with rectilinear hooks;pictographics;leaves
92d;Figure with rectilinear hooks;pictographics;leaves
92e;Figure with rectilinear hooks;pictographics;leaves
92f;Hour-glass ornament with volutes,hatched and cross-hatched,metopal;pictographics;leaves
93a;Palm-tree;pictographics;trees and animals
93b;Palm-tree;pictographics;trees and animals
93c;Palm-tree;pictographics;trees and animals
93d;Palm-tree;pictographics;trees and animals
93e;Palm-tree;pictographics;trees and animals
93f;Volute tree;pictographics;trees and animals
93g;Volute tree;pictographics;trees and animals
93h;Volute tree;pictographics;trees and animals
93i;Volute tree;pictographics;trees and animals
93j;Volute tree;pictographics;trees and animals
93k;Volute tree;pictographics;trees and animals
94a;Fish,solid or hatched,as filling ornament;pictographics;trees and animals
94b;Fish,solid or hatched,as filling ornament;pictographics;trees and animals
94c;Fish,solid or hatched,as filling ornament;pictographics;trees and animals
94d;Serpent,dotted outline,horizontal or vertical panel;pictographics;trees and animals
94e;Serpent,solid,with a row of light dots,horizontal panel;pictographics;trees and animals
95a;Birds,bodies hatched,horizontal panel;pictographics;trees and animals
95b;Birds,bodies hatched,horizontal panel;pictographics;trees and animals
95c;Birds,bodies hatched,horizontal panel;pictographics;trees and animals
95d;Bird,body hatched or cross-hatched,in metope composition;pictographics;trees and animals
95e;Bird,body hatched or cross-hatched,in metope composition;pictographics;trees and animals
95f;Bird,body hatched or cross-hatched,in metope composition;pictographics;trees and animals
95g;Bird,body hatched or cross-hatched,in metope composition;pictographics;trees and animals
95h;Bird,body hatched or cross-hatched,in metope composition;pictographics;trees and animals
95i;Bird with worm,striped body,metopal;pictographics;trees and animals
95j;Confronted birds,hatched,metopal;pictographics;trees and animals
95k;Bird,body hatched,angular wing raised,metopal;pictographics;trees and animals
95l;Bird,body cross-hatched,raised wing hatched,metopal;pictographics;trees and animals
95m;Bird with four heads,body cross-hatched,in metope composition;pictographics;trees and animals
96a;Birds,bodies solid,horizontal panel;pictographics;trees and animals
96b;Birds,bodies solid,horizontal panel;pictographics;trees and animals
96c;Birds,bodies solid,horizontal panel;pictographics;trees and animals
96d;Bird,body solid,in metope composition;pictographics;trees and animals
96e;"Birds (""Bird-seed""),horizontal panel";pictographics;trees and animals
96f;Birds,bodies solid,confronted,vertical panel;pictographics;trees and animals
96g;Confronted birds,bodies solid,metopal;pictographics;trees and animals
96h;Birds with long necks,solid,metopal or in a horizontal panel;pictographics;trees and animals
96i;Birds with long necks,solid,metopal or in a horizontal panel;pictographics;trees and animals
